onset	duration	trial_type
21.509	2.5	Angry Neutral Left
21.509	n/a	Angry Block Beginning
23.996	2.5	Angry Incongruent Left
26.499	2.5	Angry Congruent Right
28.986	2.5	Angry Incongruent Right
31.473	2.5	Angry Neutral Left
33.96	2.5	Angry Congruent Left
41.42	2.5	Angry Neutral Left
43.907	2.5	Angry Incongruent Right
46.393	2.5	Angry Neutral Right
48.88	2.5	Angry Neutral Right
51.367	2.5	Angry Neutral Right
58.827	2.5	Angry Neutral Right
61.314	2.5	Angry Neutral Left
63.818	2.5	Angry Neutral Right
66.304	2.5	Angry Congruent Left
68.791	2.5	Angry Neutral Left
71.278	2.5	Angry Incongruent Right
73.765	2.5	Angry Incongruent Right
76.251	2.5	Angry Neutral Left
78.738	2.5	Angry Congruent Right
81.225	2.5	Angry Neutral Right
86.199	2.5	Angry Congruent Right
91.189	2.5	Angry Neutral Left
93.676	2.5	Angry Congruent Right
96.162	2.5	Angry Congruent Right
98.666	2.5	Angry Neutral Left
101.153	2.5	Angry Incongruent Left
103.639	2.5	Angry Neutral Left
106.126	2.5	Angry Incongruent Left
108.613	2.5	Angry Incongruent Left
113.586	2.5	Angry Incongruent Left
118.56	2.5	Angry Congruent Right
123.534	2.5	Angry Neutral Right
126.02	2.5	Angry Incongruent Right
128.507	2.5	Angry Incongruent Left
130.994	2.5	Angry Incongruent Right
133.481	2.5	Angry Congruent Left
140.941	2.5	Angry Neutral Right
143.428	2.5	Angry Neutral Right
145.931	2.5	Angry Neutral Right
150.905	2.5	Angry Neutral Left
153.392	2.5	Angry Congruent Right
158.382	2.5	Angry Congruent Left
160.869	2.5	Angry Congruent Right
163.355	2.5	Angry Congruent Left
165.842	2.5	Angry Incongruent Right
168.329	2.5	Angry Congruent Left
170.816	2.5	Angry Neutral Left
173.302	2.5	Angry Congruent Left
175.789	2.5	Angry Neutral Left
178.276	2.5	Angry Congruent Right
183.25	2.5	Angry Incongruent Right
188.24	2.5	Angry Incongruent Right
190.727	2.5	Angry Incongruent Left
193.213	2.5	Angry Congruent Left
198.187	2.5	Angry Incongruent Left
200.69	2.5	Angry Incongruent Right
205.664	2.5	Angry Congruent Right
208.151	2.5	Angry Incongruent Right
210.637	2.5	Angry Incongruent Left
215.611	2.5	Angry Incongruent Right
218.098	2.5	Angry Congruent Right
223.071	2.5	Angry Congruent Left
228.045	2.5	Angry Congruent Right
230.532	2.5	Angry Incongruent Left
233.019	2.5	Angry Neutral Right
235.505	2.5	Angry Incongruent Left
237.992	2.5	Angry Congruent Left
240.479	2.5	Angry Neutral Right
242.966	2.5	Angry Incongruent Left
245.452	2.5	Angry Congruent Left
247.939	2.5	Angry Congruent Left
269.939	n/a	Get Ready Blank Screen
271.448	2.5	Happy Congruent Left
271.448	n/a	Happy Block Beginning
276.421	2.5	Happy Incongruent Right
278.908	2.5	Happy Neutral Left
281.395	2.5	Happy Incongruent Left
283.882	2.5	Happy Incongruent Left
286.368	2.5	Happy Incongruent Right
291.342	2.5	Happy Congruent Left
293.829	2.5	Happy Neutral Right
296.316	2.5	Happy Congruent Left
298.802	2.5	Happy Neutral Left
301.289	2.5	Happy Incongruent Right
303.776	2.5	Happy Congruent Left
306.263	2.5	Happy Congruent Left
311.236	2.5	Happy Neutral Right
313.74	2.5	Happy Incongruent Right
318.713	2.5	Happy Incongruent Left
321.2	2.5	Happy Neutral Left
323.687	2.5	Happy Incongruent Left
328.66	2.5	Happy Incongruent Left
333.634	2.5	Happy Congruent Right
338.608	2.5	Happy Neutral Right
341.094	2.5	Happy Incongruent Left
343.581	2.5	Happy Neutral Right
346.068	2.5	Happy Neutral Right
348.555	2.5	Happy Incongruent Right
351.041	2.5	Happy Incongruent Left
353.528	2.5	Happy Neutral Left
360.989	2.5	Happy Incongruent Right
363.475	2.5	Happy Congruent Right
368.449	2.5	Happy Congruent Right
370.936	2.5	Happy Neutral Right
378.396	2.5	Happy Congruent Left
380.883	2.5	Happy Congruent Left
383.37	2.5	Happy Incongruent Left
385.856	2.5	Happy Congruent Left
388.343	2.5	Happy Neutral Right
393.317	2.5	Happy Incongruent Right
395.804	2.5	Happy Neutral Right
398.29	2.5	Happy Congruent Left
400.777	2.5	Happy Neutral Right
403.264	2.5	Happy Congruent Right
405.751	2.5	Happy Neutral Left
408.238	2.5	Happy Neutral Right
413.211	2.5	Happy Incongruent Right
418.185	2.5	Happy Neutral Right
420.671	2.5	Happy Congruent Right
425.645	2.5	Happy Congruent Right
428.132	2.5	Happy Neutral Right
433.105	2.5	Happy Neutral Left
435.592	2.5	Happy Congruent Left
440.566	2.5	Happy Congruent Right
443.053	2.5	Happy Neutral Right
445.539	2.5	Happy Neutral Left
448.026	2.5	Happy Incongruent Left
450.513	2.5	Happy Congruent Right
455.487	2.5	Happy Congruent Right
457.973	2.5	Happy Congruent Right
460.46	2.5	Happy Neutral Left
462.947	2.5	Happy Incongruent Left
465.434	2.5	Happy Incongruent Left
467.92	2.5	Happy Neutral Left
470.407	2.5	Happy Congruent Right
472.894	2.5	Happy Congruent Left
477.868	2.5	Happy Incongruent Right
480.354	2.5	Happy Incongruent Left
482.841	2.5	Happy Incongruent Right
485.328	2.5	Happy Incongruent Right
487.815	2.5	Happy Neutral Left
490.302	2.5	Happy Neutral Right
495.275	2.5	Happy Congruent Right
497.762	2.5	Happy Congruent Left
499.752	n/a	Rest and Goodbye Text
