onset	duration	trial_type
20.033	n/a	Instructions
25.083	3.25	Emotion Positive Down
25.083	n/a	Block
28.399	3.25	Emotion Negative Up
31.716	3.25	Emotion Positive Down
35.016	3.25	Emotion Negative Up
38.299	3.25	Emotion Positive Up
41.616	3.25	Emotion Negative Down
44.899	3.25	Emotion Negative Down
48.182	3.25	Emotion Negative Up
51.482	3.25	Emotion Negative Down
54.799	3.25	Emotion Positive Up
58.098	3.25	Emotion Positive Down
61.415	3.25	Emotion Positive Down
64.715	3.25	Emotion Positive Down
68.015	3.25	Emotion Negative Down
71.332	3.25	Emotion Negative Down
74.615	3.25	Emotion Positive Down
77.915	3.25	Emotion Positive Up
81.231	3.25	Emotion Negative Up
84.548	3.25	Emotion Positive Down
87.864	3.25	Emotion Negative Down
91.198	3.25	Emotion Positive Up
94.481	3.25	Emotion Positive Down
97.781	3.25	Emotion Positive Up
101.097	3.25	Emotion Negative Up
104.397	3.25	Emotion Positive Down
107.697	3.25	Emotion Negative Up
111.031	3.25	Emotion Negative Up
114.347	3.25	Emotion Positive Down
117.664	3.25	Emotion Positive Up
120.98	3.25	Emotion Negative Up
124.297	3.25	Emotion Negative Down
127.613	3.25	Emotion Positive Down
130.93	3.25	Emotion Negative Up
154.229	n/a	Instructions
159.246	n/a	Block
159.246	3.25	Gender Positive Up
162.529	3.25	Gender Positive Up
165.829	3.25	Gender Positive Down
169.146	3.25	Gender Negative Up
172.429	3.25	Gender Negative Down
175.746	3.25	Gender Negative Down
179.029	3.25	Gender Negative Down
182.345	3.25	Gender Negative Up
185.645	3.25	Gender Negative Down
188.979	3.25	Gender Positive Up
192.295	3.25	Gender Positive Up
195.612	3.25	Gender Positive Up
198.928	3.25	Gender Negative Down
202.245	3.25	Gender Negative Up
205.561	3.25	Gender Positive Up
208.895	3.25	Gender Negative Up
212.211	3.25	Gender Negative Down
215.495	3.25	Gender Positive Up
218.828	3.25	Gender Positive Up
222.111	3.25	Gender Negative Up
225.411	3.25	Gender Positive Down
228.711	3.25	Gender Positive Down
232.011	3.25	Gender Negative Up
235.327	3.25	Gender Positive Down
238.644	3.25	Gender Negative Up
241.944	3.25	Gender Negative Up
245.244	3.25	Gender Negative Down
248.56	3.25	Gender Positive Down
251.927	3.25	Gender Negative Down
255.244	3.25	Gender Positive Down
258.56	3.25	Gender Positive Down
261.86	3.25	Gender Negative Up
265.177	3.25	Gender Positive Down
