onset	duration	trial_type
21.509	2.5	Angry Incongruent Right
21.509	n/a	Angry Block Beginning
23.996	2.5	Angry Neutral Left
26.483	2.5	Angry Neutral Right
28.97	2.5	Angry Incongruent Right
31.456	2.5	Angry Congruent Left
33.943	2.5	Angry Congruent Right
38.917	2.5	Angry Neutral Left
43.89	2.5	Angry Incongruent Right
46.377	2.5	Angry Neutral Right
48.864	2.5	Angry Incongruent Left
51.351	2.5	Angry Neutral Right
53.838	2.5	Angry Neutral Right
58.828	2.5	Angry Congruent Right
63.802	2.5	Angry Congruent Left
66.305	2.5	Angry Incongruent Left
71.279	2.5	Angry Congruent Left
73.765	2.5	Angry Neutral Right
76.269	2.5	Angry Neutral Left
78.756	2.5	Angry Congruent Left
81.242	2.5	Angry Incongruent Left
83.729	2.5	Angry Neutral Right
86.233	2.5	Angry Incongruent Right
88.719	2.5	Angry Congruent Left
91.206	2.5	Angry Congruent Left
93.693	2.5	Angry Neutral Right
96.18	2.5	Angry Congruent Left
98.667	2.5	Angry Congruent Left
101.154	2.5	Angry Incongruent Left
103.64	2.5	Angry Incongruent Left
106.144	2.5	Angry Neutral Left
108.631	2.5	Angry Neutral Left
111.117	2.5	Angry Neutral Right
116.108	2.5	Angry Congruent Left
118.594	2.5	Angry Congruent Right
126.055	2.5	Angry Incongruent Right
128.542	2.5	Angry Neutral Right
131.028	2.5	Angry Incongruent Right
133.515	2.5	Angry Neutral Left
136.002	2.5	Angry Incongruent Right
140.976	2.5	Angry Congruent Right
143.463	2.5	Angry Incongruent Right
148.436	2.5	Angry Neutral Right
150.923	2.5	Angry Neutral Right
153.41	2.5	Angry Neutral Left
158.383	2.5	Angry Incongruent Left
160.87	2.5	Angry Incongruent Right
163.357	2.5	Angry Incongruent Right
168.331	2.5	Angry Congruent Right
170.818	2.5	Angry Congruent Right
173.304	2.5	Angry Neutral Left
175.791	2.5	Angry Incongruent Left
180.781	2.5	Angry Congruent Right
183.285	2.5	Angry Incongruent Right
185.772	2.5	Angry Neutral Left
188.258	2.5	Angry Congruent Left
193.232	2.5	Angry Congruent Right
195.719	2.5	Angry Incongruent Left
198.222	2.5	Angry Neutral Left
203.196	2.5	Angry Congruent Right
205.683	2.5	Angry Incongruent Right
208.186	2.5	Angry Incongruent Left
210.673	2.5	Angry Congruent Left
213.16	2.5	Angry Congruent Right
215.647	2.5	Angry Neutral Left
218.15	2.5	Angry Congruent Left
220.637	2.5	Angry Incongruent Left
223.124	2.5	Angry Congruent Right
230.601	2.5	Angry Incongruent Left
233.087	2.5	Angry Congruent Right
235.574	2.5	Angry Neutral Right
243.068	2.5	Angry Neutral Left
245.555	2.5	Angry Incongruent Left
270.058	n/a	Get Ready Blank Screen
271.567	n/a	Happy Block Beginning
271.567	2.5	Happy Congruent Right
274.054	2.5	Happy Incongruent Left
276.54	2.5	Happy Neutral Right
281.531	2.5	Happy Congruent Right
286.504	2.5	Happy Incongruent Left
291.478	2.5	Happy Neutral Left
301.425	2.5	Happy Neutral Right
303.912	2.5	Happy Congruent Left
306.399	2.5	Happy Incongruent Right
308.886	2.5	Happy Neutral Left
311.372	2.5	Happy Neutral Right
313.859	2.5	Happy Incongruent Left
316.346	2.5	Happy Incongruent Left
318.833	2.5	Happy Congruent Left
323.807	2.5	Happy Congruent Left
326.293	2.5	Happy Incongruent Left
328.78	2.5	Happy Congruent Left
331.267	2.5	Happy Incongruent Left
338.727	2.5	Happy Neutral Right
343.701	2.5	Happy Incongruent Right
346.188	2.5	Happy Congruent Right
348.675	2.5	Happy Incongruent Right
351.162	2.5	Happy Neutral Right
358.622	2.5	Happy Congruent Right
361.109	2.5	Happy Congruent Left
363.596	2.5	Happy Congruent Right
366.082	2.5	Happy Congruent Right
368.569	2.5	Happy Incongruent Left
373.543	2.5	Happy Incongruent Right
376.03	2.5	Happy Congruent Left
378.517	2.5	Happy Incongruent Right
381.003	2.5	Happy Incongruent Right
383.49	2.5	Happy Neutral Left
385.977	2.5	Happy Congruent Right
388.464	2.5	Happy Incongruent Left
390.951	2.5	Happy Neutral Right
393.437	2.5	Happy Neutral Left
395.924	2.5	Happy Incongruent Left
398.411	2.5	Happy Congruent Right
400.898	2.5	Happy Incongruent Right
403.385	2.5	Happy Congruent Left
405.872	2.5	Happy Neutral Left
408.358	2.5	Happy Congruent Left
410.845	2.5	Happy Neutral Right
415.819	2.5	Happy Incongruent Right
418.306	2.5	Happy Incongruent Right
420.792	2.5	Happy Neutral Left
423.279	2.5	Happy Neutral Right
428.253	2.5	Happy Congruent Right
430.74	2.5	Happy Neutral Right
433.227	2.5	Happy Congruent Left
435.713	2.5	Happy Congruent Right
438.2	2.5	Happy Neutral Right
443.174	2.5	Happy Neutral Right
445.661	2.5	Happy Neutral Right
448.147	2.5	Happy Congruent Right
450.634	2.5	Happy Neutral Right
455.608	2.5	Happy Congruent Left
458.095	2.5	Happy Congruent Left
460.582	2.5	Happy Neutral Left
463.068	2.5	Happy Incongruent Left
465.555	2.5	Happy Congruent Left
470.529	2.5	Happy Neutral Left
473.016	2.5	Happy Incongruent Right
475.502	2.5	Happy Neutral Left
477.989	2.5	Happy Incongruent Left
482.963	2.5	Happy Incongruent Right
485.45	2.5	Happy Incongruent Left
487.937	2.5	Happy Incongruent Right
490.423	2.5	Happy Neutral Left
492.91	2.5	Happy Congruent Right
495.397	2.5	Happy Neutral Right
499.873	n/a	Rest and Goodbye Text
