onset	duration	trial_type
23.996	n/a	Angry Block Beginning
23.996	2.5	Angry Congruent Right
26.483	2.5	Angry Congruent Left
28.969	2.5	Angry Congruent Left
31.473	2.5	Angry Incongruent Right
33.96	2.5	Angry Congruent Left
36.446	2.5	Angry Incongruent Left
38.933	2.5	Angry Incongruent Left
43.907	2.5	Angry Neutral Left
46.394	2.5	Angry Incongruent Left
48.88	2.5	Angry Congruent Right
51.367	2.5	Angry Incongruent Right
58.828	2.5	Angry Neutral Right
61.314	2.5	Angry Neutral Left
63.801	2.5	Angry Congruent Right
66.288	2.5	Angry Neutral Right
68.775	2.5	Angry Incongruent Right
71.262	2.5	Angry Neutral Left
73.748	2.5	Angry Incongruent Right
78.722	2.5	Angry Incongruent Left
83.696	2.5	Angry Congruent Right
86.183	2.5	Angry Congruent Left
91.156	2.5	Angry Incongruent Right
96.13	2.5	Angry Congruent Left
103.59	2.5	Angry Neutral Right
106.077	2.5	Angry Congruent Left
108.564	2.5	Angry Congruent Left
113.537	2.5	Angry Congruent Left
116.024	2.5	Angry Incongruent Right
118.511	2.5	Angry Incongruent Left
123.485	2.5	Angry Congruent Left
125.971	2.5	Angry Incongruent Left
128.458	2.5	Angry Incongruent Left
130.945	2.5	Angry Neutral Left
133.432	2.5	Angry Incongruent Left
135.919	2.5	Angry Congruent Left
138.405	2.5	Angry Neutral Right
140.892	2.5	Angry Incongruent Right
145.866	2.5	Angry Neutral Right
148.353	2.5	Angry Congruent Right
150.856	2.5	Angry Neutral Left
153.343	2.5	Angry Neutral Left
155.83	2.5	Angry Incongruent Left
158.317	2.5	Angry Congruent Right
160.803	2.5	Angry Incongruent Left
165.777	2.5	Angry Neutral Right
168.28	2.5	Angry Incongruent Left
173.254	2.5	Angry Incongruent Left
178.228	2.5	Angry Neutral Left
183.201	2.5	Angry Congruent Left
185.688	2.5	Angry Neutral Right
188.175	2.5	Angry Neutral Left
190.662	2.5	Angry Incongruent Right
193.148	2.5	Angry Congruent Right
195.635	2.5	Angry Congruent Right
198.122	2.5	Angry Congruent Left
200.609	2.5	Angry Neutral Left
203.096	2.5	Angry Neutral Right
208.069	2.5	Angry Congruent Right
210.556	2.5	Angry Neutral Right
213.043	2.5	Angry Neutral Left
215.53	2.5	Angry Incongruent Right
218.016	2.5	Angry Incongruent Right
220.503	2.5	Angry Incongruent Right
222.99	2.5	Angry Congruent Right
225.477	2.5	Angry Congruent Right
227.964	2.5	Angry Congruent Right
230.451	2.5	Angry Neutral Right
232.937	2.5	Angry Incongruent Right
235.424	2.5	Angry Neutral Left
240.398	2.5	Angry Neutral Left
245.371	2.5	Angry Neutral Right
247.858	2.5	Angry Neutral Right
269.858	n/a	Get Ready Blank Screen
271.367	2.5	Happy Congruent Left
271.367	n/a	Happy Block Beginning
273.854	2.5	Happy Neutral Right
278.827	2.5	Happy Neutral Left
281.314	2.5	Happy Incongruent Right
283.801	2.5	Happy Incongruent Left
286.288	2.5	Happy Neutral Right
291.261	2.5	Happy Neutral Left
293.748	2.5	Happy Congruent Left
298.722	2.5	Happy Neutral Right
301.208	2.5	Happy Incongruent Right
303.712	2.5	Happy Neutral Right
306.199	2.5	Happy Congruent Left
308.685	2.5	Happy Congruent Left
311.172	2.5	Happy Incongruent Right
318.633	2.5	Happy Incongruent Left
321.119	2.5	Happy Congruent Right
323.606	2.5	Happy Neutral Left
326.093	2.5	Happy Neutral Right
328.58	2.5	Happy Congruent Right
331.067	2.5	Happy Congruent Right
333.554	2.5	Happy Congruent Left
338.527	2.5	Happy Incongruent Left
341.014	2.5	Happy Incongruent Left
348.474	2.5	Happy Neutral Left
350.961	2.5	Happy Congruent Left
353.448	2.5	Happy Neutral Left
355.935	2.5	Happy Neutral Right
358.422	2.5	Happy Incongruent Left
360.908	2.5	Happy Incongruent Right
363.395	2.5	Happy Congruent Right
365.882	2.5	Happy Neutral Left
368.369	2.5	Happy Neutral Left
373.342	2.5	Happy Incongruent Right
378.316	2.5	Happy Incongruent Left
380.803	2.5	Happy Neutral Left
383.29	2.5	Happy Congruent Right
385.776	2.5	Happy Neutral Left
388.28	2.5	Happy Neutral Left
390.767	2.5	Happy Incongruent Left
393.253	2.5	Happy Neutral Left
395.74	2.5	Happy Neutral Left
398.227	2.5	Happy Congruent Left
400.714	2.5	Happy Neutral Right
403.201	2.5	Happy Neutral Right
405.688	2.5	Happy Congruent Right
408.174	2.5	Happy Congruent Left
410.661	2.5	Happy Incongruent Right
415.635	2.5	Happy Congruent Right
418.122	2.5	Happy Neutral Right
420.608	2.5	Happy Incongruent Right
423.095	2.5	Happy Congruent Right
425.582	2.5	Happy Incongruent Right
428.069	2.5	Happy Congruent Right
430.556	2.5	Happy Incongruent Left
433.042	2.5	Happy Congruent Right
435.529	2.5	Happy Incongruent Left
438.016	2.5	Happy Congruent Left
440.519	2.5	Happy Congruent Left
443.006	2.5	Happy Neutral Right
447.98	2.5	Happy Neutral Right
450.467	2.5	Happy Incongruent Left
460.414	2.5	Happy Incongruent Right
465.387	2.5	Happy Incongruent Right
467.874	2.5	Happy Congruent Left
470.361	2.5	Happy Congruent Right
472.848	2.5	Happy Incongruent Left
475.335	2.5	Happy Incongruent Right
477.822	2.5	Happy Incongruent Left
482.795	2.5	Happy Neutral Right
485.282	2.5	Happy Congruent Left
490.256	2.5	Happy Incongruent Right
495.229	2.5	Happy Congruent Right
499.713	n/a	Rest and Goodbye Text
